from,to
547279195,3653733001
547279195,28952583
547279195,283084666
547279195,1432840654
547279195,3466583055
547279195,4264585869
547279195,2925317637
547279195,385215474
547279195,73402947
547279195,886543107
547279195,3311135442
3653733001,547279195
3653733001,3226180912
3653733001,28952583
3653733001,283084666
3653733001,1432840654
3653733001,3466583055
3653733001,4264585869
3653733001,2925317637
3653733001,385215474
3653733001,73402947
3653733001,886543107
3653733001,3311135442
28952583,254084444
28952583,1763589366
28952583,2862170375
28952583,1422693890
28952583,1871546073
28952583,3158588727
28952583,2910406783
28952583,3885269654
28952583,2945468130
28952583,1269003026
28952583,283084666
28952583,1432840654
28952583,3466583055
28952583,4264585869
28952583,2925317637
28952583,385215474
28952583,73402947
28952583,886543107
28952583,3311135442
283084666,2438922952
283084666,3587024345
283084666,2793423749
283084666,2813510971
283084666,1082892971
283084666,3657097971
283084666,28952583
283084666,1432840654
283084666,3466583055
283084666,4264585869
283084666,2925317637
283084666,385215474
283084666,73402947
283084666,886543107
283084666,3311135442
1432840654,3711504955
1432840654,1471155143
1432840654,2839249655
1432840654,1582686110
1432840654,1273957758
1432840654,73402947
1432840654,615589014
1432840654,2184021649
1432840654,2952249350
1432840654,796072547
1432840654,785691769
1432840654,1792422690
1432840654,28952583
1432840654,283084666
1432840654,3466583055
1432840654,4264585869
1432840654,2925317637
1432840654,385215474
1432840654,886543107
1432840654,3311135442
3466583055,3793052456
3466583055,2883150708
3466583055,3205173556
3466583055,3712479686
3466583055,1656823091
3466583055,1912622724
3466583055,4198385881
3466583055,4433724
3466583055,3801256573
3466583055,3536148800
3466583055,2135143548
3466583055,1979333928
3466583055,3493381880
3466583055,3590248965
3466583055,1168013600
3466583055,28952583
3466583055,283084666
3466583055,1432840654
3466583055,4264585869
3466583055,2925317637
3466583055,385215474
3466583055,73402947
3466583055,886543107
3466583055,3311135442
4264585869,3448284939
4264585869,2380213277
4264585869,28952583
4264585869,283084666
4264585869,1432840654
4264585869,3466583055
4264585869,2925317637
4264585869,385215474
4264585869,73402947
4264585869,886543107
4264585869,3311135442
2925317637,1569198765
2925317637,2008342743
2925317637,348927105
2925317637,28952583
2925317637,283084666
2925317637,1432840654
2925317637,3466583055
2925317637,4264585869
2925317637,385215474
2925317637,73402947
2925317637,886543107
2925317637,3311135442
385215474,3867891211
385215474,2494087046
385215474,28952583
385215474,283084666
385215474,1432840654
385215474,3466583055
385215474,4264585869
385215474,2925317637
385215474,73402947
385215474,886543107
385215474,3311135442
73402947,1273957758
73402947,615589014
73402947,2839249655
73402947,1582686110
73402947,2184021649
73402947,2952249350
73402947,796072547
73402947,785691769
73402947,1792422690
73402947,3711504955
73402947,1432840654
73402947,28952583
73402947,283084666
73402947,3466583055
73402947,4264585869
73402947,2925317637
73402947,385215474
73402947,886543107
73402947,3311135442
886543107,2496093044
886543107,2110305340
886543107,1835161398
886543107,3701310633
886543107,4267128692
886543107,3304952908
886543107,4180458620
886543107,502561847
886543107,1630274495
886543107,28952583
886543107,283084666
886543107,1432840654
886543107,3466583055
886543107,4264585869
886543107,2925317637
886543107,385215474
886543107,73402947
886543107,3311135442
3311135442,764885389
3311135442,4031022511
3311135442,23453760
3311135442,1242678787
3311135442,3412098867
3311135442,2675670306
3311135442,28952583
3311135442,283084666
3311135442,1432840654
3311135442,3466583055
3311135442,4264585869
3311135442,2925317637
3311135442,385215474
3311135442,73402947
3311135442,886543107
1400506942,3226180912
1400506942,2077658512
1400506942,28952583
1400506942,283084666
1400506942,1432840654
1400506942,3466583055
1400506942,4264585869
1400506942,2925317637
1400506942,385215474
1400506942,73402947
1400506942,886543107
1400506942,3311135442
3226180912,3653733001
3226180912,1400506942
3226180912,28952583
3226180912,283084666
3226180912,1432840654
3226180912,3466583055
3226180912,4264585869
3226180912,2925317637
3226180912,385215474
3226180912,73402947
3226180912,886543107
3226180912,3311135442
2077658512,1400506942
2077658512,468571724
2077658512,28952583
2077658512,283084666
2077658512,1432840654
2077658512,3466583055
2077658512,4264585869
2077658512,2925317637
2077658512,385215474
2077658512,73402947
2077658512,886543107
2077658512,3311135442
468571724,2077658512
468571724,1376675973
468571724,28952583
468571724,283084666
468571724,1432840654
468571724,3466583055
468571724,4264585869
468571724,2925317637
468571724,385215474
468571724,73402947
468571724,886543107
468571724,3311135442
764885389,2675670306
764885389,3311135442
764885389,23453760
764885389,1242678787
764885389,3412098867
764885389,4031022511
764885389,28952583
764885389,283084666
764885389,1432840654
764885389,3466583055
764885389,4264585869
764885389,2925317637
764885389,385215474
764885389,73402947
764885389,886543107
4031022511,3311135442
4031022511,3661881285
4031022511,23453760
4031022511,1242678787
4031022511,3412098867
4031022511,2675670306
4031022511,764885389
4031022511,28952583
4031022511,283084666
4031022511,1432840654
4031022511,3466583055
4031022511,4264585869
4031022511,2925317637
4031022511,385215474
4031022511,73402947
4031022511,886543107
23453760,1623976408
23453760,1242678787
23453760,3412098867
23453760,2675670306
23453760,764885389
23453760,3311135442
23453760,4031022511
23453760,28952583
23453760,283084666
23453760,1432840654
23453760,3466583055
23453760,4264585869
23453760,2925317637
23453760,385215474
23453760,73402947
23453760,886543107
1242678787,23453760
1242678787,3412098867
1242678787,2675670306
1242678787,764885389
1242678787,3311135442
1242678787,4031022511
1242678787,28952583
1242678787,283084666
1242678787,1432840654
1242678787,3466583055
1242678787,4264585869
1242678787,2925317637
1242678787,385215474
1242678787,73402947
1242678787,886543107
3412098867,1242678787
3412098867,2675670306
3412098867,23453760
3412098867,764885389
3412098867,3311135442
3412098867,4031022511
3412098867,28952583
3412098867,283084666
3412098867,1432840654
3412098867,3466583055
3412098867,4264585869
3412098867,2925317637
3412098867,385215474
3412098867,73402947
3412098867,886543107
2675670306,3412098867
2675670306,764885389
2675670306,23453760
2675670306,1242678787
2675670306,3311135442
2675670306,4031022511
2675670306,28952583
2675670306,283084666
2675670306,1432840654
2675670306,3466583055
2675670306,4264585869
2675670306,2925317637
2675670306,385215474
2675670306,73402947
2675670306,886543107
2496093044,158219464
2496093044,886543107
2496093044,226671320
2496093044,3219735033
2496093044,28952583
2496093044,283084666
2496093044,1432840654
2496093044,3466583055
2496093044,4264585869
2496093044,2925317637
2496093044,385215474
2496093044,73402947
2496093044,3311135442
2110305340,886543107
2110305340,1835161398
2110305340,3701310633
2110305340,4267128692
2110305340,3304952908
2110305340,4180458620
2110305340,502561847
2110305340,1630274495
2110305340,28952583
2110305340,283084666
2110305340,1432840654
2110305340,3466583055
2110305340,4264585869
2110305340,2925317637
2110305340,385215474
2110305340,73402947
2110305340,3311135442
1835161398,2110305340
1835161398,3701310633
1835161398,886543107
1835161398,4267128692
1835161398,3304952908
1835161398,4180458620
1835161398,502561847
1835161398,1630274495
1835161398,28952583
1835161398,283084666
1835161398,1432840654
1835161398,3466583055
1835161398,4264585869
1835161398,2925317637
1835161398,385215474
1835161398,73402947
1835161398,3311135442
3701310633,1835161398
3701310633,4267128692
3701310633,886543107
3701310633,2110305340
3701310633,3304952908
3701310633,4180458620
3701310633,502561847
3701310633,1630274495
3701310633,28952583
3701310633,283084666
3701310633,1432840654
3701310633,3466583055
3701310633,4264585869
3701310633,2925317637
3701310633,385215474
3701310633,73402947
3701310633,3311135442
4267128692,3701310633
4267128692,3304952908
4267128692,886543107
4267128692,2110305340
4267128692,1835161398
4267128692,4180458620
4267128692,502561847
4267128692,1630274495
4267128692,28952583
4267128692,283084666
4267128692,1432840654
4267128692,3466583055
4267128692,4264585869
4267128692,2925317637
4267128692,385215474
4267128692,73402947
4267128692,3311135442
3304952908,4267128692
3304952908,4180458620
3304952908,886543107
3304952908,2110305340
3304952908,1835161398
3304952908,3701310633
3304952908,502561847
3304952908,1630274495
3304952908,28952583
3304952908,283084666
3304952908,1432840654
3304952908,3466583055
3304952908,4264585869
3304952908,2925317637
3304952908,385215474
3304952908,73402947
3304952908,3311135442
4180458620,3304952908
